popularity,original_title,cast,runtime,genres,release_date,release_year,budget_adj,revenue_adj,profit,leading_actor
3,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,132,Action|Science Fiction|Thriller,2015-09-09,2015,56119975,286356245,230236270,Dylan O'Brien
3,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,120,Crime|Action|Science Fiction,2015-03-04,2015,45079980,93903685,48823705,Sharlto Copley
3,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,115,Comedy|Music,2015-05-07,2015,26679988,264505582,237825594,Anna Kendrick
3,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,141,Thriller|Drama,2015-10-15,2015,36799983,149601569,112801586,Tom Hanks
3,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,103,Adventure|Horror|Comedy,2015-08-05,2015,53359976,138157089,84797113,Jack Black
3,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,117,Drama|Thriller,2015-10-16,2015,5519997,32569603,27049606,Brie Larson
3,The Good Dinosaur,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,93,Adventure|Animation|Comedy|Family|Fantasy,2015-11-14,2015,160999929,305371920,144371991,Raymond Ochoa
3,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,114,Action|Crime|Drama|Mystery|Thriller,2015-03-11,2015,45999979,65836683,19836704,Liam Neeson
3,Brooklyn,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,111,Drama|Romance,2015-11-04,2015,10119995,57110024,46990029,Saoirse Ronan
3,Straight Outta Compton,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,147,Drama|Music,2015-08-13,2015,25759988,185504110,159744122,O'Shea Jackson Jr.
3,The Last Witch Hunter,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,106,Fantasy|Action|Adventure,2015-10-21,2015,82799963,129164861,46364898,Vin Diesel
3,Steve Jobs,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,122,History|Drama,2015-10-09,2015,27599987,31686509,4086522,Michael Fassbender
3,The Man from U.N.C.L.E.,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,116,Comedy|Action|Adventure,2015-08-13,2015,68999969,99493456,30493487,Henry Cavill
3,The Age of Adaline,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,112,Fantasy|Drama|Romance,2015-04-16,2015,22999989,39219376,16219387,Blake Lively
3,Hardcore Henry,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,97,Action|Adventure|Science Fiction,2015-09-12,2015,9199995,13187080,3987085,Sharlto Copley
2,Home,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,94,Fantasy|Comedy|Animation|Science Fiction|Family,2015-03-18,2015,124199945,339361177,215161232,Jim Parsons
2,Paper Towns,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,109,Drama|Mystery|Romance,2015-07-09,2015,11039995,78671281,67631286,Nat Wolff
2,The Lobster,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,118,Thriller|Comedy|Drama|Romance|Science Fiction,2015-10-08,2015,3679998,8339346,4659348,Colin Farrell
2,Carol,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,118,Romance|Drama,2015-11-20,2015,10855995,37050347,26194352,Cate Blanchett
2,The Intern,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,121,Comedy,2015-09-24,2015,32199985,178999419,146799434,Robert De Niro
2,Everest,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,121,Adventure|Drama,2015-09-10,2015,50599977,187153294,136553317,Jason Clarke
2,Joy,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,124,Comedy|Drama,2015-12-24,2015,55199975,93043293,37843318,Jennifer Lawrence
2,Point Break,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,114,Action|Crime|Thriller,2015-12-03,2015,96599957,123021159,26421202,Edgar RamÃ­rez
2,Burnt,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,100,Drama,2015-10-02,2015,18399991,33678188,15278197,Bradley Cooper
2,Self/less,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,116,Science Fiction|Mystery|Thriller,2015-07-10,2015,23919989,28081355,4161366,Ryan Reynolds
2,Mortdecai,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,106,Comedy|Adventure,2015-01-21,2015,55199975,27985062,-27214913,Johnny Depp
2,The Danish Girl,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,120,Drama,2015-11-27,2015,13799993,59056175,45256182,Eddie Redmayne
2,Blackhat,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,133,Mystery|Crime|Action|Thriller|Drama,2015-01-13,2015,64399971,16332697,-48067274,Chris Hemsworth
2,Sicario,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,121,Action|Crime|Drama|Mystery|Thriller,2015-09-17,2015,27599987,77303716,49703729,Emily Blunt
2,Fantastic Four,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,100,Action|Adventure|Science Fiction,2015-08-05,2015,110399952,154539320,44139368,Miles Teller
2,The Witch,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,92,Mystery|Horror,2015-03-24,2015,3219998,37190013,33970015,Anya Taylor-Joy
2,Spy,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,120,Action|Comedy|Crime,2015-05-06,2015,59799973,216812826,157012853,Melissa McCarthy
2,Focus,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,105,Romance|Comedy|Crime|Drama,2015-02-25,2015,46091979,141645863,95553884,Will Smith
2,Hitman: Agent 47,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,96,Action|Crime|Thriller,2015-08-20,2015,32199985,75759810,43559825,Rupert Friend
2,In the Heart of the Sea,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,122,Thriller|Drama|Adventure|Action|History,2015-11-20,2015,91999959,86315059,-5684900,Chris Hemsworth
2,Creed,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,133,Drama,2015-11-25,2015,32199985,126900665,94700680,Michael B. Jordan
2,Trainwreck,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,125,Comedy,2015-07-17,2015,32199985,129532072,97332087,Amy Schumer
2,Eye in the Sky,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,102,Drama|Thriller|War,2015-09-11,2015,11959994,30220316,18260322,Helen Mirren
2,Legend,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,131,Crime|Thriller,2015-09-09,2015,22999989,39535137,16535148,Tom Hardy
2,Pan,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,111,Adventure|Family|Fantasy,2015-09-24,2015,137999939,118117202,-19882737,Levi Miller
2,The Peanuts Movie,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,88,Adventure|Animation|Comedy|Family,2015-11-05,2015,91079959,226534364,135454405,Noah Schnapp
2,Concussion,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,123,Drama,2015-11-12,2015,32199985,44733666,12533681,Will Smith
2,The Night Before,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,100,Comedy,2015-11-20,2015,22999989,48204295,25204306,Joseph Gordon-Levitt
2,Knock Knock,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,99,Drama|Horror|Thriller,2015-06-26,2015,2299998,4796917,2496919,Keanu Reeves
2,The Longest Ride,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,128,Romance|Drama,2015-04-09,2015,31279986,57972193,26692207,Scott Eastwood
2,Hotel Transylvania 2,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,89,Animation|Comedy|Family,2015-09-21,2015,73599967,428888671,355288704,Adam Sandler
2,Love the Coopers,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,107,Family|Comedy,2015-11-12,2015,15639993,22079990,6439997,Steve Martin
2,The Walk,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,123,Adventure|Drama|Thriller,2015-09-30,2015,32199985,56287361,24087376,Joseph Gordon-Levitt
2,Tracers,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,94,Action|Crime|Drama,2015-01-15,2015,10119995,1714249,-8405746,Marie Avgeropoulos
2,Vacation,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,99,Adventure|Comedy,2015-07-28,2015,28519987,96033410,67513423,Ed Helms
1,Poltergeist,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,93,Horror|Thriller,2015-05-20,2015,32199985,87802915,55602930,Sam Rockwell
1,Maggie,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,95,Horror,2015-05-08,2015,3679998,172142,-3507856,Arnold Schwarzenegger
1,Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,137,Crime|Thriller,2015-03-15,2015,45999979,3058382,-42941597,Tom Hardy
1,The Gift,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,108,Thriller|Mystery,2015-07-30,2015,4599997,54260336,49660339,Jason Bateman
1,Daddy's Home,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,96,Comedy,2015-12-25,2015,45999979,221131463,175131484,Will Ferrell
1,The Little Prince,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,92,Adventure|Animation|Fantasy,2015-07-29,2015,58879974,89765510,30885536,Jeff Bridges
1,The Dressmaker,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,118,Drama,2015-10-01,2015,10975595,16872792,5897197,Kate Winslet
1,The DUFF,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,100,Romance|Comedy,2015-02-20,2015,7819996,40046325,32226329,Mae Whitman
1,Sinister 2,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,97,Horror,2015-08-19,2015,9199995,48651435,39451440,Shannyn Sossamon
1,Paul Blart: Mall Cop 2,Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough,94,Action|Adventure|Comedy|Family,2015-04-16,2015,27599987,98989419,71389432,Kevin James
1,The Boy Next Door,Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth,91,Thriller,2015-01-23,2015,3679998,46150034,42470036,Jennifer Lopez
1,Entourage,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,104,Comedy,2015-06-03,2015,27599987,45322311,17722324,Jeremy Piven
1,The Wedding Ringer,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,101,Comedy,2015-01-16,2015,21159990,73415857,52255867,Kevin Hart
1,Scouts Guide to the Zombie Apocalypse,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner,93,Comedy|Horror,2015-10-23,2015,13799993,13671898,-128095,Tye Sheridan
1,The Visit,Olivia DeJonge|Ed Oxenbould|Kathryn Hahn|Benjamin Kanes|Deanna Dunagan,94,Horror|Thriller,2015-09-10,2015,4599997,90574017,85974020,Olivia DeJonge
1,Black Mass,Johnny Depp|Joel Edgerton|Benedict Cumberbatch|Dakota Johnson|Kevin Bacon,122,Crime|Drama,2015-09-04,2015,48759978,91793583,43033605,Johnny Depp
1,Heist,Jeffrey Dean Morgan|Robert De Niro|Kate Bosworth|Dave Bautista|Gina Carano,93,Crime|Action|Thriller,2015-11-13,2015,8187996,46125,-8141871,Jeffrey Dean Morgan
1,Krampus,Adam Scott|Toni Collette|Allison Tolman|David Koechner|Emjay Anthony,98,Horror|Comedy|Fantasy,2015-11-26,2015,13799993,56624785,42824792,Adam Scott
1,Dark Places,Charlize Theron|Nicholas Hoult|Christina Hendricks|ChloÃ« Grace Moretz|Tye Sheridan,113,Drama|Mystery|Thriller,2015-03-31,2015,18399991,191900,-18208091,Charlize Theron
1,No Escape,Owen Wilson|Lake Bell|Pierce Brosnan|Sterling Jerins|Spencer Garrett,103,Action|Thriller,2015-08-26,2015,4599997,50065340,45465343,Owen Wilson
1,Dope,Shameik Moore|Kiersey Clemons|Tony Revolori|ZoÃ« Kravitz|Chanel Iman,103,Crime|Drama|Comedy,2015-06-19,2015,643999,16547831,15903832,Shameik Moore
1,American Ultra,Jesse Eisenberg|Kristen Stewart|Topher Grace|Connie Britton|Walton Goggins,96,Comedy|Action,2015-08-19,2015,25759988,25951426,191438,Jesse Eisenberg
1,Woman in Gold,Helen Mirren|Ryan Reynolds|Tatiana Maslany|Katie Holmes|Max Irons,120,Drama,2015-04-10,2015,10119995,56690166,46570171,Helen Mirren
1,Sisters,Tina Fey|Amy Poehler|John Leguizamo|Ike Barinholtz|Maya Rudolph,118,Comedy,2015-12-18,2015,27599987,96610126,69010139,Tina Fey
1,Project Almanac,Jonny Weston|Virginia Gardner|Sofia Black-D'Elia|Sam Lerner|Allen Evangelista,106,Science Fiction|Thriller,2015-01-30,2015,11039995,29668368,18628373,Jonny Weston
1,The Transporter Refueled,Ed Skrein|Ray Stevenson|Loan Chabanol|Gabriella Wright|Tatjana PajkoviÄ‡,96,Thriller|Action|Crime,2015-09-03,2015,22999989,66819266,43819277,Ed Skrein
1,Crimson Peak,Mia Wasikowska|Jessica Chastain|Tom Hiddleston|Charlie Hunnam|Jim Beaver,119,Mystery|Thriller|Fantasy|Horror|Drama,2015-10-13,2015,50599977,68705406,18105429,Mia Wasikowska
1,Magic Mike XXL,Channing Tatum|Matt Bomer|Joe Manganiello|Kevin Nash|Adam RodrÃ­guez,115,Comedy|Drama|Music,2015-07-01,2015,13615994,112619962,99003968,Channing Tatum
1,Paranormal Activity: The Ghost Dimension,Chris J. Murray|Brit Shaw|Ivy George|Lauren Frandsen|Tyler Craig,88,Horror|Thriller,2015-10-21,2015,9199995,71851557,62651562,Chris J. Murray
1,Trumbo,Bryan Cranston|Diane Lane|Helen Mirren|Elle Fanning|Louis C.K.,124,Drama,2015-10-27,2015,13799993,7576804,-6223189,Bryan Cranston
1,Secret in Their Eyes,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Lyndon Smith,111,Crime|Drama|Mystery,2015-10-14,2015,17939992,29614535,11674543,Chiwetel Ejiofor
1,The SpongeBob Movie: Sponge Out of Water,Tom Kenny|Bill Fagerbakke|Rodger Bumpass|Clancy Brown|Carolyn Lawrence,93,Family|Animation,2015-02-05,2015,68079970,286666383,218586413,Tom Kenny
1,Max,Thomas Haden Church|Josh Wiggins|Lauren Graham|Robbie Amell|Mia Xitlali,111,Adventure|Drama|Family,2015-06-26,2015,18399991,40449856,22049865,Thomas Haden Church
1,The Gunman,Sean Penn|Jasmine Trinca|Javier Bardem|Ray Winstone|Mark Rylance,115,Action|Drama|Crime,2015-02-16,2015,36799983,9811564,-26988419,Sean Penn
1,Unfriended,Shelley Hennig|Moses Jacob Storm|Renee Olstead|William Peltz|Jacob Wysocki,82,Horror|Thriller,2015-04-17,2015,919999,57851497,56931498,Shelley Hennig
1,Hot Pursuit,Reese Witherspoon|SofÃ­a Vergara|Michael Mosley|John Carroll Lynch|Richard T. Jones,87,Action|Crime|Comedy,2015-05-08,2015,32199985,47545763,15345778,Reese Witherspoon
1,Insidious: Chapter 3,Dermot Mulroney|Stefanie Scott|Lin Shaye|Leigh Whannell|Angus Sampson,97,Drama|Horror|Thriller,2015-06-04,2015,9199995,95959500,86759505,Dermot Mulroney
1,The Lady in the Van,Maggie Smith|Alex Jennings|Frances de la Tour|Gwen Taylor|Dominic Cooper,104,Comedy|Drama,2015-11-13,2015,5519997,38076655,32556658,Maggie Smith
1,Victor Frankenstein,James McAvoy|Daniel Radcliffe|Jessica Brown Findlay|Andrew Scott|Charles Dance,109,Drama|Science Fiction|Thriller,2015-11-10,2015,36799983,31489100,-5310883,James McAvoy
1,Anomalisa,Jennifer Jason Leigh|David Thewlis|Tom Noonan,90,Animation|Comedy|Drama|Romance,2015-12-30,2015,7359996,3458541,-3901455,Jennifer Jason Leigh
1,The Diary of a Teenage Girl,Bel Powley|Kristen Wiig|Alexander SkarsgÃ¥rd|Christopher Meloni|Margarita Levieva,102,Drama|Romance,2015-08-07,2015,1839999,1358841,-481158,Bel Powley
1,Irrational Man,Emma Stone|Joaquin Phoenix|Jamie Blackley|Parker Posey|Meredith Hagner,95,Mystery|Drama,2015-07-17,2015,10119995,25199786,15079791,Emma Stone
0,Ricki and the Flash,Meryl Streep|Kevin Kline|Mamie Gummer|Sebastian Stan|Audra McDonald,100,Comedy|Drama|Music,2015-07-10,2015,16559992,38019285,21459293,Meryl Streep
0,The Perfect Guy,Michael Ealy|Sanaa Lathan|Morris Chestnut|Kathryn Morris|Rutina Wesley,100,Drama|Thriller,2015-09-11,2015,11039995,55451294,44411299,Michael Ealy
0,While We're Young,Ben Stiller|Naomi Watts|Adam Driver|Amanda Seyfried|Charles Grodin,97,Drama|Comedy,2015-03-27,2015,9199995,6980483,-2219512,Ben Stiller
0,Get Hard,Will Ferrell|Kevin Hart|Alison Brie|Craig T. Nelson|T.I.,100,Comedy,2015-03-26,2015,36799983,97990493,61190510,Will Ferrell
0,The 33,Antonio Banderas|Rodrigo Santoro|Juliette Binoche|James Brolin|Lou Diamond Phillips,120,History|Drama,2015-08-06,2015,22999989,22910495,-89494,Antonio Banderas
0,Suffragette,Carey Mulligan|Helena Bonham Carter|Meryl Streep|Ben Whishaw|Brendan Gleeson,106,Drama|History,2015-10-16,2015,12879994,14722219,1842225,Carey Mulligan
0,We Are Your Friends,Zac Efron|Emily Ratajkowski|Wes Bentley|Nick Rotteveel|Alessandro Lindblad,96,Drama|Music|Romance,2015-08-26,2015,5519997,10232318,4712321,Zac Efron
0,The Second Best Exotic Marigold Hotel,Dev Patel|Judi Dench|Richard Gere|Maggie Smith|Bill Nighy,122,Drama|Comedy,2015-02-26,2015,9199995,79099969,69899974,Dev Patel
0,Little Boy,Jakob Salvati|Emily Watson|Cary-Hiroyuki Tagawa|Michael Rapaport|David Henrie,106,Comedy|Drama|War,2015-04-23,2015,18399991,5906690,-12493301,Jakob Salvati
0,Aloha,Bradley Cooper|Emma Stone|Rachel McAdams|John Krasinski|Bill Murray,105,Adventure|Comedy|Romance,2015-05-27,2015,34039985,24150007,-9889978,Bradley Cooper
0,Our Brand Is Crisis,Sandra Bullock|Anthony Mackie|Billy Bob Thornton|Zoe Kazan|Scoot McNairy,108,Drama|Comedy,2015-09-11,2015,25759988,6442077,-19317911,Sandra Bullock
0,Freeheld,Julianne Moore|Ellen Page|Steve Carell|Michael Shannon|Luke Grimes,103,Romance|Drama,2015-10-02,2015,6439997,527467,-5912530,Julianne Moore
0,Love,Karl Glusman|Aomi Muyock|Klara Kristin|Juan Saavedra|Gaspar NoÃ©,134,Drama|Romance,2015-07-06,2015,2759998,639647,-2120351,Karl Glusman
0,Truth,Robert Redford|Cate Blanchett|Elisabeth Moss|Topher Grace|Dennis Quaid,121,Drama,2015-09-12,2015,8831996,2338228,-6493768,Robert Redford
0,Danny Collins,Al Pacino|Annette Bening|Jennifer Garner|Bobby Cannavale|Christopher Plummer,107,Comedy|Drama|Music,2015-03-20,2015,9199995,9968887,768892,Al Pacino
0,Rock the Kasbah,Bill Murray|Zooey Deschanel|Bruce Willis|Kate Hudson|Taylor Kinney,100,Comedy|Music|War,2015-10-22,2015,13799993,2779009,-11020984,Bill Murray
0,"Hello, My Name Is Doris",Sally Field|Max Greenfield|Beth Behrs|Stephen Root|Natasha Lyonne,95,Comedy|Drama|Romance,2015-11-27,2015,919999,13289393,12369394,Sally Field
0,The Vatican Tapes,Olivia Taylor Dudley|Michael PeÃ±a|Djimon Hounsou|Dougray Scott|Peter Andersson,91,Thriller|Horror,2015-07-24,2015,11959994,1641981,-10318013,Olivia Taylor Dudley
0,99 Homes,Andrew Garfield|Laura Dern|Michael Shannon|Tim Guinee|J.D. Evermore,112,Drama,2015-09-25,2015,7359996,1298972,-6061024,Andrew Garfield
0,Hot Tub Time Machine 2,Rob Corddry|Craig Robinson|Clark Duke|Adam Scott|Chevy Chase,93,Comedy,2015-02-20,2015,12879994,11329473,-1550521,Rob Corddry
